gender,race,age_group,income,credit_score,years_employed,loan_approved,predicted_approval
Male,White,35-50,75000,720,8,1,1
Male,White,25-35,82000,750,5,1,1
Female,White,35-50,78000,730,7,1,1
Female,Black,25-35,71000,710,4,0,0
Male,White,50-65,65000,680,15,1,1
Female,Hispanic,25-35,69000,695,3,0,0
Male,Black,35-50,80000,740,9,0,0
Male,White,50-65,92000,780,20,1,1
Female,Asian,35-50,88000,760,10,1,1
Female,Black,25-35,73000,715,5,0,0
Male,Hispanic,25-35,66000,690,3,0,0
Male,White,35-50,95000,800,12,1,1
Female,White,50-65,85000,755,18,1,1
Male,Asian,35-50,91000,770,11,1,1
Female,Hispanic,25-35,62000,675,2,0,0
Male,Black,35-50,74000,720,6,0,1
Female,White,35-50,89000,765,9,1,1
Male,White,25-35,67000,700,4,1,1
Female,Black,50-65,76000,725,14,0,0
Male,Hispanic,35-50,70000,705,7,0,0
Female,Asian,25-35,84000,745,6,1,1
Male,White,25-35,58000,660,2,1,0
Female,White,25-35,72000,715,5,1,1
Male,Black,25-35,68000,700,3,0,0
Female,Hispanic,35-50,77000,730,8,0,0
Male,Asian,50-65,98000,810,22,1,1
Female,Black,35-50,79000,735,9,0,0
Male,White,35-50,88000,770,11,1,1
Female,White,25-35,65000,685,3,1,1
Male,Hispanic,25-35,63000,680,2,0,0
